,precursor_ids,target,doi,year,type
634,"['Bi2O3', 'Eu2O3', 'GeO2', 'Lu2O3', 'Na2CO3']",Na0.989Lu0.7Eu0.3GeBi0.011O4,10.1039/c6tc05598b,2017,test
635,"['Bi2O3', 'Eu2O3', 'GeO2', 'Lu2O3', 'Na2CO3']",Na0.989Lu0.5Eu0.5GeBi0.011O4,10.1039/c6tc05598b,2017,test
636,"['Bi2O3', 'Eu2O3', 'GeO2', 'Lu2O3', 'Na2CO3']",Na0.989Lu0.3Eu0.7GeBi0.011O4,10.1039/c6tc05598b,2017,test
637,"['BaCO3', 'NaP(HO2)2', 'SrCO3']",NaBa0.5Sr0.5PO4,10.1039/c7cp00742f,2017,test
638,"['Fe', 'Nb', 'Se']",NbFe0.001Se2,10.1039/c7cp00784a,2017,test
639,"['Fe', 'Sn', 'Ti']",TiFe2Sn,10.1039/c7cp02744c,2017,test
640,"['Fe', 'Mn', 'Sn', 'Ti']",TiMn0.01Fe1.99Sn,10.1039/c7cp02744c,2017,test
641,"['Fe', 'Mn', 'Sn', 'Ti']",TiMn0.016Fe1.984Sn,10.1039/c7cp02744c,2017,test
642,"['Fe', 'Mn', 'Sn', 'Ti']",TiMn0.018Fe1.982Sn,10.1039/c7cp02744c,2017,test
643,"['Fe', 'Mn', 'Sn', 'Ti']",TiMn0.02Fe1.98Sn,10.1039/c7cp02744c,2017,test
644,"['Fe', 'Mn', 'Sn', 'Ti']",TiMn0.03Fe1.97Sn,10.1039/c7cp02744c,2017,test
645,"['Fe', 'Mn', 'Sn', 'Ti']",TiMn0.05Fe1.95Sn,10.1039/c7cp02744c,2017,test
646,"['AlF3', 'CaF2', 'MgF2', 'Sr(PO3)2', 'SrF2']",Sr0.0033Ca0.0033Mg0.0033Al0.3268F1,10.1039/c7cp03927a,2017,test
647,"['C', 'Li']",Li6C60,10.1039/c7cp04353h,2017,test
648,"['Co', 'Sb', 'Se', 'Sn']",Co4Sn0.04Sb11.86Se0.1,10.1039/c7cp04634k,2017,test
649,"['Co', 'Sb', 'Se', 'Zn']",Co4Zn0.04Sb11.86Se0.1,10.1039/c7cp04634k,2017,test
650,"['Cd', 'Co', 'Sb', 'Se']",Co4Cd0.04Sb11.86Se0.1,10.1039/c7cp04634k,2017,test
651,"['GeO2', 'Na2CO3']",Na2GeO3,10.1039/c7cy00393e,2017,test
652,"['Cu', 'Fe', 'K', 'Te']",KFeCuTe2,10.1039/c7dt00219j,2017,test
653,"['Cu', 'Fe', 'Te']",FeCuTe2,10.1039/c7dt00219j,2017,test
654,"['B2O3', 'CaO', 'Cs2CO3']",CsCaBO3,10.1039/c7dt00251c,2017,test
655,"['Li2CO3', 'Rb2CO3']",RbLiCO3,10.1039/c7dt00270j,2017,test
656,"['Cs2CO3', 'Li2CO3']",CsLiCO3,10.1039/c7dt00270j,2017,test
657,"['Nb2O5', 'SrCO3', 'TiO2']",Sr0.8Ti0.6Nb0.4O3,10.1039/c7dt00352h,2017,test
658,"['Nb2O5', 'SrCO3', 'ZrO2']",Sr0.8Zr0.6Nb0.4O3,10.1039/c7dt00352h,2017,test
659,"['BaCO3', 'Li2CO3', 'PH6NO4', 'PbO']",Li2Ba6Pb3P12O40,10.1039/c7dt00509a,2017,test
660,"['BaCO3', 'Li2CO3', 'PH6NO4', 'PbO']",Li2Ba7Pb2P12O40,10.1039/c7dt00509a,2017,test
661,"['Li2CO3', 'PH6NO4', 'PbO']",Li2Pb9P12O40,10.1039/c7dt00509a,2017,test
662,"['BaCO3', 'Li2CO3', 'PH6NO4', 'PbO']",Li2Ba2Pb7P12O40,10.1039/c7dt00509a,2017,test
663,"['La2O3', 'MoO3', 'SrCO3', 'TiO2']",Sr1.85La0.15TiMoO6,10.1039/c7dt00848a,2017,test
664,"['La2O3', 'MoO3', 'SrCO3', 'TiO2']",Sr1.75La0.25TiMoO6,10.1039/c7dt00848a,2017,test
665,"['La2O3', 'MoO3', 'SrCO3', 'TiO2']",Sr1.7La0.3TiMoO6,10.1039/c7dt00848a,2017,test
666,"['GeO2', 'MnCO3', 'ZrO2']",ZrMn2Ge4O12,10.1039/c7dt00975e,2017,test
667,"['Co3O4', 'GeO2', 'ZrO2']",ZrCo2Ge4O12,10.1039/c7dt00975e,2017,test
668,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.999Eu0.001B7PbO13,10.1039/c7dt01558e,2017,test
669,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.999Eu0.001B7PbO13,10.1039/c7dt01558e,2017,test
670,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.995Eu0.005B7PbO13,10.1039/c7dt01558e,2017,test
671,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.98Eu0.02B7PbO13,10.1039/c7dt01558e,2017,test
672,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.97Eu0.03B7PbO13,10.1039/c7dt01558e,2017,test
673,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.95Eu0.05B7PbO13,10.1039/c7dt01558e,2017,test
674,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.9Eu0.1B7PbO13,10.1039/c7dt01558e,2017,test
675,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.8Eu0.2B7PbO13,10.1039/c7dt01558e,2017,test
676,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.6Eu0.4B7PbO13,10.1039/c7dt01558e,2017,test
677,"['B(HO)3', 'Eu2O3', 'PbO', 'Tb4O7']",Tb0.4Eu0.6B7PbO13,10.1039/c7dt01558e,2017,test
678,"['MoO3', 'SrCO3']",Sr11Mo4O23,10.1039/c7dt02087b,2017,test
679,"['Bi', 'Eu', 'Sn']",Eu11Sn1.98Bi8.07,10.1039/c7dt02410j,2017,test
680,"['B', 'In', 'Ni']",Ni21InB20,10.1039/c7dt02501g,2017,test
681,"['B', 'Ni', 'Sn']",Ni21B20Sn,10.1039/c7dt02501g,2017,test
682,"['B(HO)3', 'CdCl2', 'CdO']",Cd5B3O9Cl,10.1039/c7dt02573d,2017,test
683,"['Co', 'Li2CO3', 'Te']",Li3CoTeO6,10.1039/c7dt02663c,2017,test
684,"['Sc', 'Te', 'Tl']",ScTlTe2,10.1039/c7dt03446f,2017,test
685,"['Sc', 'Se', 'Tl']",ScTlSe2,10.1039/c7dt03446f,2017,test
686,"['BaF2', 'BaS']",Ba2SF2,10.1039/c7dt03611f,2017,test
687,"['BaF2', 'BaS', 'S']",Ba2S2F2,10.1039/c7dt03611f,2017,test
688,"['Mn', 'SnO2']",MnSnO2,10.1039/c7ee01635b,2017,test
689,"['Al', 'Ce', 'Cu']",Ce7.5Cu2.5Al90,10.1039/c7nr02405c,2017,test
690,"['Al', 'Ce', 'Cu']",Ce5Cu5Al90,10.1039/c7nr02405c,2017,test
691,"['Al', 'Ce', 'Cu']",Ce2.5Cu7.5Al90,10.1039/c7nr02405c,2017,test
692,"['Al', 'Ce']",Ce10Al90,10.1039/c7nr02405c,2017,test
693,"['Cd', 'Ge', 'Li', 'Se']",Li2CdGeSe4,10.1039/c7qi00004a,2017,test
694,"['Cd', 'Li', 'Se', 'Sn']",Li2CdSnSe4,10.1039/c7qi00004a,2017,test
695,"['B(HO)3', 'Li2CO3', 'ZnO']",Li6Zn3B4O12,10.1039/c7qi00183e,2017,test
696,"['Ba', 'Sn', 'Te']",Ba9Sn3Te15,10.1039/c7qi00219j,2017,test
697,"['Bi2O3', 'Fe2O3', 'MnO2', 'SrCO3', 'TiO2']",Sr0.6Ti0.6Mn0.002Fe0.398Bi0.42O3,10.1039/c7ta00665a,2017,test
698,"['Na4P2O7', 'PH6NO4', 'V2O3']",Na7V4P9O32,10.1039/c7ta03687f,2017,test
699,"['BaF2', 'LaF3']",Ba0.05La0.95F2.95,10.1039/c7ta04005a,2017,test
700,"['Mn', 'Na', 'Te']",Na0.95Mn0.05Te,10.1039/c7ta04842d,2017,test
701,"['Ag', 'Mn', 'Te']",Mn0.05Ag0.95Te,10.1039/c7ta04842d,2017,test
702,"['Nb2O5', 'ZrO2']",ZrNb24O62,10.1039/c7ta07347j,2017,test
703,"['BaCO3', 'Nb2O5', 'Sm2O3', 'ZrO2']",Ba4Sm2Zr4Nb6O30,10.1039/c7tc00277g,2017,test
704,"['BaCO3', 'La2O3', 'Nb2O5', 'ZrO2']",Ba4La2Zr4Nb6O30,10.1039/c7tc00277g,2017,test
705,"['BaCO3', 'Nb2O5', 'Nd2O3', 'ZrO2']",Ba4Nd2Zr4Nb6O30,10.1039/c7tc00277g,2017,test
706,"['Li2CO3', 'Ni(CO2)2', 'RuO2']",Li3RuNiO5,10.1039/c7tc00688h,2017,test
707,"['Cu', 'S', 'Sn', 'Ta']",Ta2Cu26Sn5.5S32,10.1039/c7tc00762k,2017,test
708,"['Bi2O3', 'Fe2O3', 'TiO2']",Ti0.1Fe0.9Bi0.9O3,10.1039/c7tc00833c,2017,test
709,"['Bi2O3', 'Fe2O3', 'TiO2']",Ti0.2Fe0.8Bi0.8O3,10.1039/c7tc00833c,2017,test
710,"['Al(HO)3', 'B(HO)3', 'Ga2O3', 'Y2O3']",YGa1.5Al1.5B4O12,10.1039/c7tc01285c,2017,test
711,"['Na', 'P', 'Sn']",NaSnP,10.1039/c7tc01907f,2017,test
712,"['As', 'S']",As3S7,10.1039/c7tc02609a,2017,test
713,"['BaCO3', 'HfO2', 'SiO2']",Ba0.96HfSi3O9,10.1039/c7tc03579a,2017,test
714,"['Bi2O3', 'Li2CO3', 'Ta2O5']",Li0.5Ta1.5Bi4O10,10.1039/c7tc03623j,2017,test
715,"['Li2S', 'Mo', 'MoS2']",LiMoS2,10.1039/c7tc03749j,2017,test
716,"['Ni', 'P']",NiP2,10.1039/c7tc03948d,2017,test
717,"['Ni', 'P']",Ni2P2,10.1039/c7tc03948d,2017,test
718,"['Bi2O3', 'CaCO3', 'Na2CO3', 'TiO2']",Na0.5Ca0.07Ti4.07Bi4.5O15.21,10.1063/1.4972284,2017,test
719,"['Er', 'Zn']",ErZn,10.1063/1.4972796,2017,test
720,"['Co', 'Dy', 'Si']",DyCo2Si2,10.1063/1.4974302,2017,test
721,"['S', 'Sn', 'Ti']",Ti2Sn1.2S5.2,10.1063/1.4975228,2017,test
722,"['Cu', 'S', 'Sn', 'Ti']",Ti1.96Cu0.04Sn1.2S5.2,10.1063/1.4975228,2017,test
723,"['Co', 'S', 'Sn', 'Ti']",Ti1.96Co0.04Sn1.2S5.2,10.1063/1.4975228,2017,test
724,"['Fe2O3', 'MgCO3']",Mg1.3Fe1.8O4,10.1063/1.4975696,2017,test
725,"['Fe(NO3)3', 'Lu2O3', 'Mn2O3']",LuMn0.5Fe0.5O3,10.1063/1.4977103,2017,test
726,"['BaCO3', 'MnCO3', 'TiO2']",BaTiMn0.5O3,10.1063/1.4977492,2017,test
727,"['Cr2O3', 'Eu2O3', 'MnO2', 'Y2O3']",Eu0.1Y0.9Cr0.5Mn0.5O3,10.1063/1.4979092,2017,test
728,"['Cr2O3', 'Eu2O3', 'MnO2']",EuCr0.5Mn0.5O3,10.1063/1.4979092,2017,test
729,"['Fe', 'Si']",Fe15Si85,10.1063/1.4979890,2017,test
730,"['S', 'Tl', 'TlI']",Tl6SI4,10.1063/1.4980174,2017,test
731,"['Bi2O3', 'Fe2O3', 'La2O3', 'MnO2']",La0.5Mn0.5Fe0.5Bi0.5O3,10.1063/1.4981876,2017,test
732,"['Si', 'Ta', 'Te']",Ta4SiTe4,10.1063/1.4982623,2017,test
733,"['PbO', 'Sc2O3', 'TiO2', 'ZrO2']",Sc0.1Zr0.53Ti0.47Pb0.85O3,10.1063/1.4983526,2017,test
734,"['B', 'Co', 'Si']",Co5B0.95Si94.05,10.1063/1.4983776,2017,test
735,"['Bi2O3', 'La2O3', 'MnO2', 'TiO2']",LaTi3MnBi4O15,10.1063/1.4984225,2017,test
736,"['BaCO3', 'Bi2O3', 'Na2CO3', 'TiO2']",Na0.5Ba6Ti10Bi4.5O33,10.1063/1.4986911,2017,test
737,"['CaCO3', 'La2O3', 'MnO2', 'Pr6O11']",Ca0.125La0.0583Pr0.15Mn0.3333O1,10.1063/1.4994790,2017,test
738,"['Ge', 'Sb', 'Te']",Ge17Sb2Te20,10.1063/1.4995430,2017,test
739,"['Ge', 'Sb', 'Te']",Ge17.04Sb1.96Te20,10.1063/1.4995430,2017,test
740,"['Ge', 'Sb', 'Te']",Ge17.16Sb1.84Te20,10.1063/1.4995430,2017,test
741,"['Ge', 'Sb', 'Te']",Ge17.2Sb1.8Te20,10.1063/1.4995430,2017,test
742,"['Ge', 'Sb', 'Te']",Ge17.24Sb1.76Te20,10.1063/1.4995430,2017,test
743,"['Ge', 'Sb', 'Te']",Ge17.3Sb1.7Te20,10.1063/1.4995430,2017,test
744,"['Ce', 'Cu']",Ce70Cu30,10.1063/1.4996269,2017,test
745,"['Ce', 'Cu', 'Ga']",Ce70Cu28Ga2,10.1063/1.4996269,2017,test
746,"['Al', 'Ce', 'Cu']",Ce70Cu20Al10,10.1063/1.4996269,2017,test
747,"['Al', 'Ce', 'Cu', 'Ni']",Ce68Ni2Cu20Al10,10.1063/1.4996269,2017,test
748,"['Ce', 'Cu', 'Ga']",Ce70Cu21.5Ga8.5,10.1063/1.4996269,2017,test
749,"['Ce', 'Cu', 'Ga', 'Ni']",Ce70Ni2Cu19.5Ga8.5,10.1063/1.4996269,2017,test
750,"['Bi', 'Se', 'Te']",Bi2Te0.9Se2.1,10.1063/1.4997947,2017,test
751,"['Co', 'Dy', 'Si']",Dy10Co20Si70,10.1063/1.5000851,2017,test
752,"['As', 'Cr']",CrAs,10.1063/1.5010903,2017,test
753,"['Bi2O3', 'CaCO3', 'Na2CO3', 'TiO2']",Na0.5Ca0.06TiBi0.44O2.97,10.1063/1.5012108,2017,test
754,"['BaCO3', 'Mn3O4', 'Nd2O3']",BaNdMn2O6,10.1103/physrevb.95.035101,2017,test
755,"['BaCO3', 'Co3O4', 'Dy2O3']",BaDyCo4O7,10.1103/physrevb.95.054401,2017,test
756,"['Fe', 'Gd', 'Zn']",GdFe2Zn20,10.1103/physrevb.95.104407,2017,test
757,"['Dy2O3', 'SrCO3']",SrDy2O4,10.1103/physrevb.95.134430,2017,test
758,"['CuO', 'GeO2', 'La2O3']",La2CuGe2O8,10.1103/physrevb.95.144404,2017,test
759,"['Cu', 'Te', 'Zr']",ZrCu0.05Te2,10.1103/physrevb.95.144505,2017,test
760,"['Cu', 'Te', 'Zr']",ZrCu0.05Te1.2,10.1103/physrevb.95.144505,2017,test
761,"['Cu', 'Te', 'Zr']",ZrCu0.1Te2,10.1103/physrevb.95.144505,2017,test
762,"['Cu', 'Te', 'Zr']",ZrCu0.1Te1.2,10.1103/physrevb.95.144505,2017,test
763,"['Cu', 'Te', 'Zr']",ZrCu0.15Te2,10.1103/physrevb.95.144505,2017,test
764,"['Cu', 'Te', 'Zr']",ZrCu0.15Te1.2,10.1103/physrevb.95.144505,2017,test
765,"['Cu', 'Te', 'Zr']",ZrCu0.2Te2,10.1103/physrevb.95.144505,2017,test
766,"['Cu', 'Te', 'Zr']",ZrCu0.2Te1.2,10.1103/physrevb.95.144505,2017,test
767,"['Cu', 'Te', 'Zr']",ZrCu0.3Te2,10.1103/physrevb.95.144505,2017,test
768,"['Cu', 'Te', 'Zr']",ZrCu0.3Te1.2,10.1103/physrevb.95.144505,2017,test
769,"['As', 'Na', 'Sn']",NaSnAs,10.1103/physrevb.95.165201,2017,test
770,"['As', 'Na', 'Sn']",NaSn2As2,10.1103/physrevb.95.165201,2017,test
771,"['CuO', 'Li2CO3', 'SiO2']",Li2Cu5Si4O14,10.1103/physrevb.95.174442,2017,test
772,"['CaO', 'Ga2O3', 'Pr6O11', 'TiO2']",Ca0.3Pr0.7Ti0.3Ga0.7O3,10.1103/physrevb.95.174445,2017,test
773,"['As', 'Ba', 'Cr']",BaCr2As2,10.1103/physrevb.95.184414,2017,test
774,"['BaCO3', 'Lu2O3', 'RuO2']",Ba3Lu2Ru2O9,10.1103/physrevb.95.184424,2017,test
775,"['Co3O4', 'IrO2', 'SrCO3']",Sr2Ir0.5Co0.5O4,10.1103/physrevb.95.245131,2017,test
776,"['CaCO3', 'Co3O4', 'Nd2O3']",CaNdCoO4,10.1103/physrevb.95.245131,2017,test
777,"['Eu', 'Pt', 'Si']",EuPtSi,10.1103/physrevb.96.014401,2017,test
778,"['BaCO3', 'BaCl2', 'CuO']",Ba2Cu3O4Cl2,10.1103/physrevb.96.014410,2017,test
779,"['As', 'Cr', 'Sr']",SrCr2As2,10.1103/physrevb.96.014411,2017,test
780,"['BaCO3', 'IrO2', 'TiO2']",Ba3Ti2IrO9,10.1103/physrevb.96.014432,2017,test
781,"['BaCO3', 'RuO2', 'TiO2']",Ba3Ti2RuO9,10.1103/physrevb.96.014432,2017,test
782,"['Ce', 'Rh', 'Sn']",CeRhSn,10.1103/physrevb.96.045139,2017,test
783,"['Ce', 'Pd', 'Rh', 'Sn']",CeRh0.9Pd0.1Sn,10.1103/physrevb.96.045139,2017,test
784,"['Ce', 'Pd', 'Rh', 'Sn']",CeRh0.8Pd0.2Sn,10.1103/physrevb.96.045139,2017,test
785,"['Ce', 'Pd', 'Rh', 'Sn']",CeRh0.7Pd0.3Sn,10.1103/physrevb.96.045139,2017,test
786,"['Ce', 'Pd', 'Rh', 'Sn']",CeRh0.6Pd0.4Sn,10.1103/physrevb.96.045139,2017,test
787,"['Ce', 'Pd', 'Rh', 'Sn']",CeRh0.5Pd0.5Sn,10.1103/physrevb.96.045139,2017,test
788,"['Ce', 'Pd', 'Rh', 'Sn']",CeRh0.3Pd0.7Sn,10.1103/physrevb.96.045139,2017,test
789,"['Ce', 'Pd', 'Rh', 'Sn']",CeRh0.2Pd0.8Sn,10.1103/physrevb.96.045139,2017,test
790,"['Ni', 'Zr']",Zr77Ni23,10.1103/physrevb.96.064201,2017,test
791,"['Cd', 'Pt', 'Sm']",SmPt2Cd20,10.1103/physrevb.96.085102,2017,test
792,"['Bi2O3', 'Pr2O3']",Pr1.03Bi0.97O7,10.1103/physrevb.96.094409,2017,test
793,"['IrO2', 'Lu2O3']",Lu2Ir2O7,10.1103/physrevb.96.094437,2017,test
794,"['Cr', 'Te']",Cr0.62Te,10.1103/physrevb.96.134410,2017,test
795,"['CuCl2', 'CuO', 'SeO2', 'Yb2O3']",YbCu3Se2O8Cl,10.1103/physrevb.96.134422,2017,test
796,"['IrO2', 'Tb4O7']",Tb2Ir2O7,10.1103/physrevb.96.144415,2017,test
797,"['BaCO3', 'In2O3', 'Ir']",Ba3Ir2InO9,10.1103/physrevb.96.174411,2017,test
798,"['Eu', 'Mn', 'Sb']",EuMnSb2,10.1103/physrevb.96.205103,2017,test
799,"['Nb2O5', 'SnO']",Nb2Sn2O7,10.1103/physrevmaterials.1.021601,2017,test
800,"['SnO', 'Ta2O5']",Ta2Sn2O7,10.1103/physrevmaterials.1.021601,2017,test
801,"['CaCO3', 'Cr2O3']",Ca10Cr7O28,10.1103/physrevmaterials.1.024407,2017,test
802,"['Al2O3', 'B2O3', 'BaCO3', 'CaCO3', 'SiO2']",BaCaAl2B2SiO10,10.1111/jace.14572,2017,test
803,"['Al2O3', 'B2O3', 'CaCO3', 'Li2CO3', 'SiO2']",LiCaAl2B2SiO11,10.1111/jace.14572,2017,test
804,"['Al(NO3)3', 'In2O3']",In1.98Al0.02O3,10.1111/jace.14878,2017,test
805,"['Al(NO3)3', 'In2O3']",In1.94Al0.06O3,10.1111/jace.14878,2017,test
806,"['Al(NO3)3', 'In2O3']",In1.9Al0.1O3,10.1111/jace.14878,2017,test
807,"['Al(NO3)3', 'In2O3']",In1.8Al0.2O3,10.1111/jace.14878,2017,test
808,"['Al(NO3)3', 'In2O3']",In1.6Al0.4O3,10.1111/jace.14878,2017,test
809,"['BaCO3', 'KP(HO2)2']",KBaPO4,10.1149/2.0141709jes,2017,test
810,"['Na2CO3', 'V2O5']",NaV3O8,10.1149/2.0311704jes,2017,test
811,"['CsBr', 'MoBr2']",Cs2Mo6Br14,10.1149/2.0591707jes,2017,test
812,"['Ni', 'Si']",Ni3Si,10.1149/2.0831712jes,2017,test
813,"['Li2O', 'LiF', 'V2O3']",Li2VO2F,10.1149/2.1071707jes,2017,test
814,"['Cu', 'Fe', 'Ni']",Fe10Ni11Cu,10.1149/2.1141713jes,2017,test
815,"['Co', 'Ni', 'S']",CoNi2S4,10.1149/2.1171709jes,2017,test
816,"['La2O3', 'LiHO', 'Nb2O5']",Li7La3Nb2O13,10.1149/2.1181706jes,2017,test
817,"['Bi2O3', 'Dy2O3', 'WO3']",Dy0.08W0.04Bi0.88O1.56,10.1149/2.1201704jes,2017,test
818,"['Bi2O3', 'Dy2O3', 'WO3']",Dy0.24W0.08Bi0.7O1.5,10.1149/2.1201704jes,2017,test
819,"['Cr2O3', 'LiHO', 'MnO2']",Li1.27Cr0.2Mn0.53O2,10.1149/2.1731713jes,2017,test
820,"['Cr2O3', 'LiHO', 'MnO2', 'Rb2CO3']",Rb0.01Li1.26Cr0.2Mn0.53O2,10.1149/2.1731713jes,2017,test
821,"['Cr2O3', 'LiHO', 'MnO2', 'Rb2CO3']",Rb0.03Li1.24Cr0.2Mn0.53O2,10.1149/2.1731713jes,2017,test
822,"['Cr2O3', 'LiHO', 'MnO2', 'Rb2CO3']",Rb0.05Li1.22Cr0.2Mn0.53O2,10.1149/2.1731713jes,2017,test
823,"['Co', 'Nb', 'Sb']",NbCoSb,10.1002/adfm.201705845,2018,test
824,"['Co', 'Nb', 'Sb']",Nb0.75CoSb,10.1002/adfm.201705845,2018,test
825,"['Fe2O3', 'K50HO50', 'Mn2O3']",K0.65Mn0.5Fe0.5O2,10.1002/adfm.201800219,2018,test
826,"['AgCl', 'CsCl']",CsAg2Cl3,10.1002/adom.201701316,2018,test
827,"['GeO2', 'SrCO3']",Sr2GeO4,10.1016/j.jlumin.2018.02.034,2018,test
828,"['Ga2O3', 'Li2O', 'SiO2']",Li0.1238Ga0.219Si0.3048O1,10.1002/adom.201701407,2018,test
829,"['Ga2O3', 'MnCO3', 'Na2CO3', 'SiO2', 'ZnO']",Na0.0498Mn0.0005Zn0.0841Ga0.2289Si0.2736O1,10.1002/adom.201800881,2018,test
830,"['Fe', 'Hf', 'Nb', 'Sb']",Hf0.05Nb0.95FeSb,10.1002/advs.201800278,2018,test
831,"['Fe', 'Nb', 'Sb', 'Zr']",Zr0.05Nb0.95FeSb,10.1002/advs.201800278,2018,test
832,"['Fe', 'Nb', 'Sb', 'Ti']",Ti0.2Nb0.8FeSb,10.1002/aenm.201701313,2018,test
833,"['Fe', 'Nb', 'Sb', 'Ta', 'Ti']",Ti0.2Ta0.032Nb0.768FeSb,10.1002/aenm.201701313,2018,test
834,"['Fe', 'Nb', 'Sb', 'Ta', 'Ti']",Ti0.2Ta0.096Nb0.704FeSb,10.1002/aenm.201701313,2018,test
835,"['Fe', 'Nb', 'Sb', 'Ta', 'Ti']",Ti0.2Ta0.16Nb0.64FeSb,10.1002/aenm.201701313,2018,test
836,"['Fe', 'Nb', 'Sb', 'Ta', 'Ti']",Ti0.2Ta0.192Nb0.608FeSb,10.1002/aenm.201701313,2018,test
837,"['Fe', 'Nb', 'Sb', 'Ta', 'Ti']",Ti0.2Ta0.256Nb0.544FeSb,10.1002/aenm.201701313,2018,test
838,"['Fe', 'Nb', 'Sb', 'Ta', 'Ti']",Ti0.2Ta0.288Nb0.512FeSb,10.1002/aenm.201701313,2018,test
839,"['Fe', 'Nb', 'Sb', 'Ta', 'Ti']",Ti0.2Ta0.32Nb0.48FeSb,10.1002/aenm.201701313,2018,test
840,"['Na2S', 'S', 'SnS2']",Na4SnS4,10.1002/aenm.201702716,2018,test
841,"['Ni', 'Sb', 'Ti']",Ti0.75NiSb,10.1002/aenm.201801409,2018,test
842,"['Co', 'Nb', 'Sb']",Nb0.8CoSb,10.1002/aenm.201801409,2018,test
843,"['Cu', 'P']",Cu3P2,10.1002/celc.201800206,2018,test
844,"['Cu', 'P']",CuP2,10.1002/celc.201800206,2018,test
845,"['Cu2S', 'NiS', 'PbS', 'Sb2S3']",Ni0.25Cu0.7PbSbS3.1,10.1002/cphc.201800613,2018,test
846,"['Ni', 'P', 'Sr']",SrNi2P4,10.1002/pssb.201800067,2018,test
847,"['Mo', 'P']",MoP2,10.1002/smll.201702853,2018,test
848,"['Co', 'Mn', 'Si']",MnCo2Si,10.1007/s00339-018-1579-4,2018,test
849,"['Nb2O5', 'Y2O3']",Y3NbO7,10.1007/s10853-017-1655-8,2018,test
850,"['SiO2', 'SrCO3', 'Y2O3']",Sr3Y2Si6O18,10.1007/s10853-017-1746-6,2018,test
851,"['Mg', 'Mn', 'Ni']",Mg3MnNi2,10.1007/s10853-017-1961-1,2018,test
852,"['Fe2O3', 'GeO2', 'Li2O']",LiFeGe2O6,10.1007/s10853-018-2405-2,2018,test
853,"['Fe2O3', 'Li2O', 'TiO2']",LiTi2FeO6,10.1007/s10853-018-2405-2,2018,test
854,"['BaCO3', 'La2O3', 'VH4NO3']",Ba2LaV3O11,10.1007/s10854-017-7895-1,2018,test
855,"['BaCO3', 'Eu2O3', 'La2O3', 'VH4NO3']",Ba2Eu0.02La0.98V3O11,10.1007/s10854-017-7895-1,2018,test
856,"['BaCO3', 'Eu2O3', 'La2O3', 'VH4NO3']",Ba2Eu0.05La0.95V3O11,10.1007/s10854-017-7895-1,2018,test
857,"['BaCO3', 'Eu2O3', 'La2O3', 'VH4NO3']",Ba2Eu0.1La0.9V3O11,10.1007/s10854-017-7895-1,2018,test
858,"['BaCO3', 'Eu2O3', 'La2O3', 'VH4NO3']",Ba2Eu0.2La0.8V3O11,10.1007/s10854-017-7895-1,2018,test
859,"['BaCO3', 'Eu2O3', 'La2O3', 'VH4NO3']",Ba2Eu0.3La0.7V3O11,10.1007/s10854-017-7895-1,2018,test
860,"['BaCO3', 'Eu2O3', 'La2O3', 'VH4NO3']",Ba2Eu0.4La0.6V3O11,10.1007/s10854-017-7895-1,2018,test
861,"['Dy2O3', 'PH6NO4', 'Sc2O3', 'SrCO3']",Sr3Dy0.1Sc0.9P3O12,10.1007/s10854-017-7949-4,2018,test
862,"['Dy2O3', 'PH6NO4', 'Sc2O3', 'SrCO3']",Sr3Dy0.13Sc0.87P3O12,10.1007/s10854-017-7949-4,2018,test
863,"['Dy2O3', 'Na2CO3', 'PH6NO4']",Na3DyP2O8,10.1007/s10854-017-8079-8,2018,test
864,"['Bi2O3', 'MoO3', 'Sc2O3']",Sc0.333Mo0.667BiO4,10.1007/s10854-017-8090-0,2018,test
865,"['MoO3', 'ZnO']",Mo2Zn3O9,10.1007/s10854-017-8100-2,2018,test
866,"['CaCO3', 'CuO', 'MnO2', 'TiO2']",CaTi4Mn0.5Cu2.5O12,10.1007/s10854-017-8150-5,2018,test
867,"['CaCO3', 'CuO', 'MnO2', 'TiO2', 'Y2O3']",Ca0.98Y0.02Ti4Mn0.5Cu2.5O12,10.1007/s10854-017-8150-5,2018,test
868,"['CaCO3', 'CuO', 'MnO2', 'TiO2', 'Y2O3']",Ca0.95Y0.05Ti4Mn0.5Cu2.5O12,10.1007/s10854-017-8150-5,2018,test
869,"['CaCO3', 'CuO', 'MnO2', 'TiO2', 'Y2O3']",Ca0.9Y0.1Ti4Mn0.5Cu2.5O12,10.1007/s10854-017-8150-5,2018,test
870,"['Al2O3', 'TiO2']",Ti0.1Al1.8O2.9,10.1007/s10854-017-8151-4,2018,test
